,name,urls
0,12/07/2018 :: B.Tech VIII Semester (R-2013) Regular & Supplementary Revaluation Result - April 2018, http://gvpce.ac.in/results/B.Tech%20VIII%20Sem%20(R-2013)%20Reg&Supple_Revaluaiton%20Result_April%202018/btechsearch.asp
1,25/06/2018 :: M.Tech I Semester (R-2015) Regular & Supplementary Revaluation Result - February 2018, http://gvpce.ac.in/results/mtech%20I%20Sem%20Reg&Sup%20(R-2015)_Revaluation%20Result%20February-2018/btechsearch.asp
2,25/06/2018 :: M.Tech II Semester (R-2015) Supplementary Revaluation Result - February 2018, http://gvpce.ac.in/results/mtech%20II%20Sem%20Supple%20(R-2015)_Revaluation%20Result%20February-2018/btechsearch.asp
3,15/06/2018 :: B.Tech VIII Semester (R-2012) (For 2012 Admitted Batches only) - April 2018, http://gvpce.ac.in/results/B.Tech%20VIII%20Sem%20Supplementary%20%20(R-2012)%20Result_April-2018%20(For%20%202012%20Admitted%20Batches%20only)/btechsearch.asp
4,"15/06/2018 :: B.Tech VIII Semester (R-2009) (For 2010 , 2011 Admitted and 2012 Lateral Entry Admitted Batches only) - April 2018"," http://gvpce.ac.in/results/B.Tech%20VIII%20Sem%20Supplementary%20%20(R-2009)%20Result_April-2018%20(For%202010%20,%202011%20Admitted%20and%202012%20Lateral%20Entry%20Admitted%20Batches%20only)/btechsearch.asp"
5,15/06/2018 :: B.Tech VII Semester (R-2012) (For 2012 Admitted Batches only) - April 2018, http://gvpce.ac.in/results/B.Tech%20VII%20Sem%20Supplementary%20%20(R-2012)%20Result_April-2018%20(For%20%202012%20Admitted%20Batches%20only)/btechsearch.asp
6,"15/06/2018 :: B.Tech VII Semester (R-2009) (For 2010 , 2011 Admitted and 2012 Lateral Entry Admitted Batches only) Supplementary Result - April 2018"," http://gvpce.ac.in/results/B.Tech%20VII%20Sem%20Supplementary%20%20(R-2009)%20Result_April-2018%20(For%202010%20,%202011%20Admitted%20and%202012%20Lateral%20Entry%20Admitted%20Batches%20only)/btechsearch.asp"
7,15/06/2018 :: B.Tech VI Semester (R-2012) (For 2012 Admitted Batches only) Supplementary Result - April 2018, http://gvpce.ac.in/results/B.Tech%20VI%20Sem%20Supplementary%20%20(R-2012)%20Result_April-2018%20(For%20%202012%20Admitted%20Batches%20only)/btechsearch.asp
8,"15/06/2018 :: B.Tech VI Semester (R-2009) (For 2010, 2011 Admitted and 2012 Lateral Entry Admitted Batches only) Supplementary Result - April 2018"," http://gvpce.ac.in/results/B.Tech%20VI%20Sem%20Supplementary%20%20(R-2009)%20Result_April-2018%20(For%202010%20,%202011%20Admitted%20and%202012%20Lateral%20Entry%20Admitted%20Batches%20only)/btechsearch.asp"
9,15/06/2018 :: B.Tech V Semester (R-2012) (For 2012 Admitted Batches only) Supplementary Result - April 2018, http://gvpce.ac.in/results/B.Tech%20V%20Sem%20Supplementary%20%20(R-2012)%20Result_April-2018%20(For%20%202012%20Admitted%20Batches%20only)/btechsearch.asp
10,"15/06/2018 :: B.Tech V Semester (R-2009) (For 2010, 2011 Admitted and 2012 Lateral Entry Admitted Batches only) Supplementary Result - April 2018"," http://gvpce.ac.in/results/B.Tech%20V%20Sem%20Supplementary%20%20(R-2009)%20Result_April-2018%20(For%202010%20,%202011%20Admitted%20and%202012%20Lateral%20Entry%20Admitted%20Batches%20only)/btechsearch.asp"
11,15/06/2018 :: B.Tech V Semester (R-2015) (For Readmitted Students) Supplementary Result - April 2018, http://gvpce.ac.in/results/B.Tech%20V%20Sem%20(R-2015)%20Supplementary%20%20Result_April-2018%20(For%20Readmited%20Students)/btechsearch.asp
12,15/06/2018 :: B.Tech IV Semester (R-2012) (For 2012 Admitted Batches only) Supplementary Result - April 2018, http://gvpce.ac.in/results/B.Tech%20IV%20Sem%20Supplementary%20%20(R-2012)%20Result_April-2018%20(For%20%202012%20Admitted%20Batches%20only)/btechsearch.asp
13,"15/06/2018 :: B.Tech IV Semester (R-2009) (For 2010 , 2011 Admitted and 2012 Lateral Entry Admitted Batches only) Supplementary Result - April 2018"," http://gvpce.ac.in/results/B.Tech%20IV%20Sem%20Supplementary%20%20(R-2009)%20Result_April-2018%20(For%202010%20,%202011%20Admitted%20and%202012%20Lateral%20Entry%20Admitted%20Batches%20only)/btechsearch.asp"
14,15/06/2018 :: B.Tech IV Semester (R-2015) (For Readmitted Students) Supplementary Result - April 2018, http://gvpce.ac.in/results/B.Tech%20IV%20Sem%20(R-2015)%20Supplementary%20%20Result_April-2018%20(For%20Readmited%20Students)/btechsearch.asp
15,15/06/2018 :: B.Tech III Semester (R-2012) (For 2012 Admitted Batches only) Supplementary Result - April 2018, http://gvpce.ac.in/results/B.Tech%20III%20Sem%20Supplementary%20%20(R-2012)%20Result_April-2018%20(For%20%202012%20Admitted%20Batches%20only)/btechsearch.asp
16,"15/06/2018 :: B.Tech III Semester (R-2009) (For 2010 , 2011 Admitted and 2012 Lateral Entry Admitted Batches only) Supplementary Result - April 2018"," http://gvpce.ac.in/results/B.Tech%20III%20Sem%20Supplementary%20%20(R-2009)%20Result_April-2018%20(For%202010%20,%202011%20Admitted%20and%202012%20Lateral%20Entry%20Admitted%20Batches%20only)/btechsearch.asp"
